year,global,semarang
1825,8.39,26.03
1826,8.36,
1827,8.81,
1828,8.17,
1829,7.94,
1830,8.52,
1831,7.64,
1832,7.45,
1833,8.01,
1834,8.15,
1835,7.39,
1836,7.70,
1837,7.38,
1838,7.51,
1839,7.63,25.42
1840,7.80,25.06
1841,7.69,24.48
1842,8.02,
1843,8.17,
1844,7.65,
1845,7.85,
1846,8.55,
1847,8.09,
1848,7.98,
1849,7.98,
1850,7.90,25.52
1851,8.18,25.72
1852,8.10,25.60
1853,8.04,25.41
1854,8.21,25.72
1855,8.11,25.76
1856,8.00,25.63
1857,7.76,
1858,8.10,
1859,8.25,
1860,7.96,
1861,7.85,
1862,7.56,
1863,8.11,
1864,7.98,
1865,8.18,
1866,8.29,25.65
1867,8.44,25.65
1868,8.25,25.87
1869,8.43,25.82
1870,8.20,25.51
1871,8.12,25.45
1872,8.19,25.53
1873,8.35,25.63
1874,8.43,25.56
1875,7.86,25.47
1876,8.08,25.61
1877,8.54,25.88
1878,8.83,26.37
1879,8.17,25.57
1880,8.12,25.41
1881,8.27,25.81
1882,8.13,25.67
1883,7.98,25.84
1884,7.77,25.35
1885,7.92,25.68
1886,7.95,25.73
1887,7.91,25.36
1888,8.09,25.77
1889,8.32,26.11
1890,7.97,25.51
1891,8.02,25.64
1892,8.07,25.48
1893,8.06,25.30
1894,8.16,25.46
1895,8.15,25.69
1896,8.21,25.69
1897,8.29,26.21
1898,8.18,25.80
1899,8.40,25.59
1900,8.50,26.05
1901,8.54,25.82
1902,8.30,25.69
1903,8.22,25.86
1904,8.09,25.52
1905,8.23,26.13
1906,8.38,26.21
1907,7.95,25.83
1908,8.19,25.82
1909,8.18,25.72
1910,8.22,25.87
1911,8.18,25.87
1912,8.17,25.95
1913,8.30,25.67
1914,8.59,25.87
1915,8.59,26.13
1916,8.23,25.82
1917,8.02,25.75
1918,8.13,25.58
1919,8.38,26.01
1920,8.36,25.88
1921,8.57,25.93
1922,8.41,25.78
1923,8.42,25.75
1924,8.51,25.96
1925,8.53,25.74
1926,8.73,26.18
1927,8.52,26.06
1928,8.63,26.16
1929,8.24,25.91
1930,8.63,26.16
1931,8.72,26.54
1932,8.71,26.16
1933,8.34,26.14
1934,8.63,25.90
1935,8.52,26.02
1936,8.55,26.19
1937,8.70,26.12
1938,8.86,26.24
1939,8.76,26.11
1940,8.76,26.11
1941,8.77,26.49
1942,8.73,26.45
1943,8.76,26.02
1944,8.85,26.13
1945,8.58,26.22
1946,8.68,26.63
1947,8.80,26.50
1948,8.75,26.36
1949,8.59,26.26
1950,8.37,26.15
1951,8.63,26.41
1952,8.64,26.33
1953,8.87,26.56
1954,8.56,26.43
1955,8.63,26.17
1956,8.28,26.41
1957,8.73,26.60
1958,8.77,26.65
1959,8.73,26.94
1960,8.58,26.45
1961,8.80,26.23
1962,8.75,26.24
1963,8.86,26.23
1964,8.41,26.32
1965,8.53,26.23
1966,8.60,26.37
1967,8.70,26.36
1968,8.52,26.32
1969,8.60,26.58
1970,8.70,26.32
1971,8.60,26.14
1972,8.50,26.63
1973,8.95,26.71
1974,8.47,26.07
1975,8.74,26.22
1976,8.35,26.36
1977,8.85,26.40
1978,8.69,26.42
1979,8.73,26.57
1980,8.98,26.59
1981,9.17,26.60
1982,8.64,26.46
1983,9.03,26.54
1984,8.69,26.15
1985,8.66,26.58
1986,8.83,26.52
1987,8.99,26.92
1988,9.20,26.79
1989,8.92,26.65
1990,9.23,26.79
1991,9.18,26.61
1992,8.84,26.72
1993,8.87,26.88
1994,9.04,26.56
1995,9.35,26.74
1996,9.04,26.83
1997,9.20,26.83
1998,9.52,27.28
1999,9.29,26.62
2000,9.20,26.77
2001,9.41,26.81
2002,9.57,27.01
2003,9.53,27.00
2004,9.32,26.97
2005,9.70,27.11
2006,9.53,26.98
2007,9.73,26.88
2008,9.43,26.65
2009,9.51,26.98
2010,9.70,26.94
2011,9.52,26.63
2012,9.51,26.87
2013,9.61,26.72
